biomass_id,common_name,n_measurements,cellulose_median,hemicellulose_median,lignin_median,ash_median,moisture_median,hhv_median,structural_carbohydrates_median,cellulose_iqr,lignin_iqr
1,wheat straw,8,41.9,32.28,10.23,2.8,,17.51,71.15,10.380000000000003,5.090000000000002
2,rice straw,6,38.455,25.35,17.799999999999997,12.1,7.41,16.04,65.05,5.917499999999997,4.600000000000001
3,rice husk,2,39.95,23.4,18.85,,,,63.35,3.25,0.34999999999999787
6,olive pruning,4,24.95,19.15,22.85,3.8000000000000003,,,40.1,12.949999999999996,2.9499999999999993
7,olive stone,1,31.29,21.9,26.5,,,,53.19,,
9,pine sawdust,1,,,,0.04,,,,,
10,pine bark,1,,,33.2,2.6,,,,,
11,grape pomace,1,19.04,8.18,50.62,,,,27.22,,
18,barley straw,1,33.25,20.36,17.13,2.18,,,53.61,,
20,oat straw,1,37.6,23.34,12.85,2.19,,,60.94,,
22,sorghum straw,1,32.0,24.0,13.0,12.0,,,56.0,,
23,sorghum stover,1,27.0,25.0,11.0,,,,52.0,,
32,sunflower seed hull,1,29.4,29.4,29.4,2.1,,,58.8,,
34,soybean stalk,1,34.5,24.8,19.8,,,,59.3,,
35,canola straw,1,42.39,16.41,14.15,2.1,,,58.8,,
38,rice bran,1,34.0,28.2,24.8,,,,62.2,,
39,flax straw,1,51.34,25.2,14.12,4.13,11.0,,76.54,,
40,flax fiber,4,64.55,16.4,2.35,,10.0,,80.9,2.4000000000000057,0.7499999999999996
42,flax oil cake,1,8.2,4.6,6.0,5.3,,,12.799999999999999,,
45,hemp oil cake,1,22.5,14.2,16.7,7.5,,,36.7,,
46,hull-less pumpkin oil cake,1,4.4,6.7,0.7,7.8,,,11.100000000000001,,
51,hazelnut shell,1,,,,0.77,,18.41,,,
79,cassava peel,1,,,1.92,6.3,,,,,
80,coffee silverskin,1,10.33,9.64,29.91,5.87,4.81,,19.97,,
87,apple pomace,1,8.81,5.44,2.98,,,,14.25,,
88,carrot pomace,1,10.01,5.73,2.5,,,,15.74,,
89,tomato pomace,1,8.6,5.33,5.85,,,,13.93,,
90,cucumber pomace,1,16.13,4.33,4.51,,,,20.46,,
95,lemon peel,1,23.06,8.09,7.56,,,,31.15,,
96,lemon pulp,1,36.22,11.05,7.55,,,,47.269999999999996,,
97,orange peel,1,37.08,11.04,7.52,,,,48.12,,
98,orange pulp,1,24.52,7.57,7.51,,,,32.09,,
102,eucalyptus sawdust,2,,,,0.8,,,,,
103,eucalyptus bark,2,,,,4.6,,,,,
104,poplar wood,1,,,,1.33,,19.38,,,
115,acacia wood,2,,,,2.1,,,,,
116,gorse,2,,,,1.4,,,,,
117,giant reed stalk,2,,,,3.6,,,,,
147,plywood waste,1,,,,2.09,,18.96,,,
151,orchard grass,1,32.0,40.0,4.7,,,,72.0,,
161,softwood stem,1,42.0,27.0,28.0,0.5,,,69.0,,
162,hardwood stem,1,45.0,30.0,20.0,0.6,,,75.0,,
163,pine wood,1,,,,0.8,,18.6,,,
164,pine cone,1,,,,0.53,,19.34,,,
166,olive pomace,2,,,,5.4,,,,,
181,ponderosa pine,1,,,,0.29,,20.02,,,
182,spelt straw,1,38.3,24.3,14.8,5.7,,,62.599999999999994,,
183,spent coffee grounds,1,,,30.6,,,,,,
